Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date
Ramim,Ra.1,,L2,21,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,18/11/2018,12/02/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,18/02/2019,03/06/2019,"Peppers, Sweet, Cornito Rosso, Early",Peppers,05/06/2019,20/11/2019,"Cilantro, Generic Variety, Leaf",Cilantro,27/11/2019,15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,22,,"Spinach, Generic Variety, Full-Size",Spinach,23/10/2018,04/04/2019,"Parsley, Green Perle - מסולסלת, Full-Size",Parsley,17/01/2019,16/10/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,06/05/2019,03/10/2019,"Cilantro, Generic Variety, Leaf",Cilantro,17/10/2019,17/02/2020,"Parsley, Generic Variety, Full-Size",Parsley,17/10/2019,06/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,23,,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,18/12/2018,13/06/2019,"Tomatoes, Cherry, Red Pearl, Ripe",Tomatoes,24/06/2019,06/10/2019,"Dill, Generic Variety, Leaf",Dill,23/09/2019,17/02/2020,"Cilantro, Generic Variety, Leaf",Cilantro,17/10/2019,17/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,24,,"Chard, Bright Lights, Full-Size",Chard,24/06/2018,05/05/2019,"Peppers, Sweet, Cornito Rosso, Ripe",Peppers,08/04/2019,15/11/2019,"Onions: Scallions, Red Bunching, Full-Size",Onions: Scallions,19/10/2019,30/03/2020,"Dill, אמליה, Leaf",Dill,18/11/2019,05/03/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,18/11/2019,30/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,25,,"Carrots, Nantes Half Long, Full-Size",Carrots,19/02/2019,04/07/2019,"Fennel, Generic Variety, Full-Size",Fennel,01/08/2019,06/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,26,,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,20/01/2019,23/05/2019,"Pac Choi (Bok Choy), Generic Variety, Mini-Size",Pac Choi (Bok Choy),18/02/2019,02/05/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,03/06/2019,02/09/2019,"Lettuce: Salad Mix, Generic Variety, Full-Size",Lettuce: Salad Mix,03/06/2019,04/07/2019,"Spinach, Generic Variety, Full-Size",Spinach,16/09/2019,23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,27,,"Carrots, Nantes Half Long, Full-Size",Carrots,13/03/2019,25/08/2019,"Beets, Generic Variety, Full-Size Root",Beets,12/06/2019,04/10/2019,"Beets, Generic Variety, Full-Size Root",Beets,04/07/2019,10/10/2019,"Beets, Generic Variety, Full-Size Root",Beets,25/07/2019,16/10/2019,"Spinach, Generic Variety, Full-Size",Spinach,19/09/2019,03/11/2019,"Spinach, Generic Variety, Full-Size",Spinach,04/11/2019,16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,28,,"Parsley Root, Generic Variety",Parsley Root,06/02/2019,06/06/2019,"Parsley Root, Generic Variety",Parsley Root,13/03/2019,06/06/2019,"Okra, Generic Variety",Okra,22/05/2019,09/10/2019,"Spinach, Generic Variety, Full-Size",Spinach,20/10/2019,13/11/2019,"Spinach, Generic Variety, Full-Size",Spinach,14/11/2019,13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,29,,"Fennel, Generic Variety, Full-Size",Fennel,20/03/2019,06/06/2019,"Jicama, Generic Variety",Jicama,08/05/2019,28/10/2019,"Parsley, Green Perle - מסולסלת, Full-Size",Parsley,08/10/2019,13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,30,,"Carrots, Mix - מעורב צבעוני, Full-Size",Carrots,26/12/2018,13/06/2019,"Beans: Bush & Pole, Bush, California Black Eyed, Fresh",Beans: Bush & Pole,19/06/2019,06/11/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,09/10/2019,04/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,31,,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,31/12/2018,29/05/2019,"Radishes, French Breakfast, Full-Size",Radishes,15/04/2019,20/05/2019,"Basil, Generic Variety, Full-Size",Basil,20/05/2019,27/06/2019,"Summer Squash, Patty Pan, Benning's Green Tint Scallop",Summer Squash,05/06/2019,02/10/2019,"Kale, גומן, Full-Size",Kale,26/08/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L2,32,,"Basil, Genovese, Full-Size",Basil,27/03/2019,29/05/2019,"Cress, Garden Broadleaf, Full-Size",Cress,04/06/2019,29/07/2019,"Mustard, Red Giant, Full-Size",Mustard,04/06/2019,22/08/2019,"Arugula, Wild Rocket, Baby Leaf",Arugula,04/06/2019,22/08/2019,"Beets, Generic Variety, Full-Size Root",Beets,15/08/2019,09/10/2019,"Beets, Generic Variety, Full-Size Root",Beets,26/08/2019,31/10/2019,"Beets, Generic Variety, Full-Size Root",Beets,04/09/2019,03/11/2019,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),08/10/2019,23/01/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,16/12/2019,27/04/2020,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.1,,L3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,1,,"Dill, Generic Variety, Leaf",Dill,31/12/2018,01/06/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,20/02/2019,23/05/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,04/06/2019,15/06/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,10/07/2019,17/10/2019,"Parsley, Generic Variety, Full-Size",Parsley,20/10/2019,10/11/2019,"Sorrel, Red Veined, Baby Leaf",Sorrel,13/11/2019,03/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,2,,"Parsley Root, Generic Variety",Parsley Root,26/12/2018,18/07/2019,"Lettuce: Salad Mix, מיקס שלנו, דמוי בן שחר, Full-Size",Lettuce: Salad Mix,10/07/2019,17/10/2019,"Radishes, Daikon Long, Full-Size",Radishes,13/11/2019,02/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,3,,"Cilantro, Santirini - נטע, Leaf",Cilantro,17/01/2019,29/05/2019,"Dill, Generic Variety, Leaf",Dill,01/05/2019,15/08/2019,"Dill, Generic Variety, Leaf",Dill,29/05/2019,05/08/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,10/07/2019,30/07/2019,"Radishes, Daikon Long, Full-Size",Radishes,08/08/2019,18/10/2019,"Radishes, Nero Tondo, Full-Size",Radishes,08/08/2019,18/10/2019,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,20/10/2019,10/11/2019,"Radishes, Nero Tondo, Full-Size",Radishes,13/11/2019,16/03/2020,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,4,,"Parsley, Green Perle - מסולסלת, Full-Size",Parsley,13/12/2018,17/10/2019,"Radishes, נטע אדומה, Full-Size",Radishes,20/10/2019,10/11/2019,"Radishes, נטע אדומה, Full-Size",Radishes,13/11/2019,22/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,5,,"Parsley Root, Generic Variety",Parsley Root,21/11/2018,06/06/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,02/05/2019,12/08/2019,"Basil, יווני קטן, Full-Size",Basil,01/08/2019,06/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,6,,"Mizuna, Generic Variety, Baby Leaf",Mizuna,19/02/2019,29/05/2019,"Radishes, Daikon Long, Full-Size",Radishes,03/04/2019,29/05/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,15/04/2019,19/09/2019,"Radishes, French Breakfast, Full-Size",Radishes,29/05/2019,24/06/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,26/06/2019,15/10/2019,"Chives, Generic Variety, Full-Size",Chives,25/07/2019,07/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,7,,"Parsley, Green Perle - מסולסלת, Full-Size",Parsley,04/09/2018,08/04/2019,"Mustard, Red Giant, Full-Size",Mustard,10/04/2019,20/06/2019,"Kale, Red Russian, Baby Leaf",Kale,10/04/2019,20/06/2019,"Parsley, Generic Variety, Full-Size",Parsley,01/05/2019,17/10/2019,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),23/09/2019,30/12/2019,"Dill, אמליה, Leaf",Dill,02/12/2019,04/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C6m,8,,"Arugula, Wild Rocket, Baby Leaf",Arugula,13/01/2019,21/07/2019,"Beets, MIX עלי ביבי, Baby Leaf Greens",Beets,28/08/2019,03/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,9,,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,10/01/2019,20/06/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,29/05/2019,19/08/2019,"Mustard, Red Giant, Full-Size",Mustard,28/08/2019,24/11/2019,"Arugula, Arugula, Baby Leaf",Arugula,28/08/2019,02/12/2019,"Beets, Generic Variety, Full-Size Root",Beets,11/12/2019,26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,10,,"Celery, Generic Variety, Full-Size",Celery,24/09/2018,29/04/2019,"Cilantro, Coriander Leisure, Leaf",Cilantro,16/05/2019,15/07/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,20/05/2019,01/07/2019,"Cilantro, Santirini - נטע, Leaf",Cilantro,22/05/2019,25/07/2019,"Tatsoi, Generic Variety, Baby Leaf",Tatsoi,26/08/2019,30/10/2019,"Sorrel, Red Veined, Baby Leaf",Sorrel,26/08/2019,03/02/2020,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,31/10/2019,14/01/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,02/12/2019,06/04/2020,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,11,,"Tomatoes, Paste, Galila - מסיימת, Ripe",Tomatoes,27/03/2019,05/09/2019,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,07/10/2019,19/12/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,06/11/2019,12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,12,,"Celeriac, Generic Variety",Celeriac,18/11/2018,27/06/2019,"Celery, Generic Variety, Full-Size",Celery,18/11/2018,11/07/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/08/2019,26/11/2019,"Pac Choi (Bok Choy), Generic Variety, Full-Size",Pac Choi (Bok Choy),19/10/2019,24/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,13,,"Tomatoes, Slicer, Big Beef, Ripe",Tomatoes,08/01/2019,05/09/2019,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,17/10/2019,12/12/2019,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,06/11/2019,16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,14,,"Celeriac, Generic Variety",Celeriac,26/12/2018,25/07/2019,"Eggplant, European, Generic Variety",Eggplant,11/03/2019,13/10/2019,"Parsley Root, Generic Variety",Parsley Root,24/10/2019,20/05/2020,"Cress, Garden Broadleaf, Full-Size",Cress,28/10/2019,23/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,15,,"Celery, Gigante Dorato, Full-Size",Celery,31/12/2018,19/07/2019,"Mizuna, Generic Variety, Baby Leaf",Mizuna,19/06/2019,13/10/2019,"Arugula, Arugula, Baby Leaf",Arugula,19/06/2019,13/10/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,16/10/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C1,16,,"Beets, Ruby Queen, Full-Size Root",Beets,05/02/2019,24/06/2019,"Peppers, Mild, Padron, Early",Peppers,18/04/2019,13/10/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,19/06/2019,07/08/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,16/10/2019,10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,17,,"Kohlrabi, Generic Variety, Full-Size",Kohlrabi,25/12/2018,08/04/2019,"Tomatoes, Slicer, Big Beef, Ripe",Tomatoes,08/01/2019,05/09/2019,"Kohlrabi, קרף - נטע, Full-Size",Kohlrabi,26/08/2019,16/12/2019,"Cabbage, Savoy Blue, Full-Size",Cabbage,20/10/2019,31/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,18,,"Kohlrabi, Generic Variety, Full-Size",Kohlrabi,08/01/2019,07/06/2019,"Radishes, Nero Tondo, Full-Size",Radishes,13/03/2019,27/05/2019,"Radishes, French Breakfast, Full-Size",Radishes,13/03/2019,22/04/2019,"Tomatoes, Cherry, Red Pearl, Ripe",Tomatoes,07/06/2019,26/09/2019,"Fennel, Generic Variety, Full-Size",Fennel,09/09/2019,13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,19,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,13/03/2019,22/04/2019,"Tomatoes, Cherry, Whitny - וויטני, Ripe",Tomatoes,04/04/2019,24/10/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,28/10/2019,01/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,20,,"New Zealand Spinach, Generic Variety",New Zealand Spinach,19/02/2019,30/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,21,,"Beets, Boldor, Full-Size Root",Beets,26/12/2018,20/05/2019,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,26/12/2018,20/05/2019,"Celery, Generic Variety, Full-Size",Celery,22/05/2019,29/08/2019,"Lettuce, Romaine, ערבית - רם שחר, Full-Size",Lettuce,12/09/2019,31/12/2019,"Beets, Bull's Blood, Full-Size Root",Beets,14/11/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,22,,"Celeriac, Generic Variety",Celeriac,01/01/2019,08/08/2019,"Celery, Generic Variety, Full-Size",Celery,31/01/2019,19/07/2019,"New Zealand Spinach, Generic Variety",New Zealand Spinach,29/05/2019,01/09/2019,"New Zealand Spinach, Generic Variety",New Zealand Spinach,01/08/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,23,,"Beets, Boldor, Full-Size Root",Beets,04/03/2019,13/06/2019,"Beets, Generic Variety, Full-Size Root",Beets,04/03/2019,13/06/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,08/08/2019,28/11/2019,"Spinach, Giant Winter, Full-Size",Spinach,06/11/2019,13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,24,,"Spinach, Giant Winter, Full-Size",Spinach,26/12/2018,18/04/2019,"Cucumbers, Facus - פאקוס",Cucumbers,03/04/2019,25/08/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,16/09/2019,06/02/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,24/12/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,25,,"Celery, Generic Variety, Full-Size",Celery,18/10/2018,02/05/2019,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,15/04/2019,25/08/2019,"Kohlrabi, Generic Variety, Full-Size",Kohlrabi,26/08/2019,07/11/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,27/11/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,26,,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,23/10/2018,25/04/2019,"Fennel, Generic Variety, Full-Size",Fennel,25/12/2018,30/04/2019,"Tomatoes, Cherry, Red Pear, Ripe",Tomatoes,20/02/2019,25/11/2019,"Carrots, Parisian, Full-Size",Carrots,27/11/2019,06/03/2020,"Carrots, Purple Haze, Full-Size",Carrots,27/11/2019,24/03/2020,"Carrots, Nantes Half Long, Full-Size",Carrots,27/11/2019,22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,27,,"Cabbage, Generic Variety, Full-Size",Cabbage,25/12/2018,29/05/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,08/05/2019,25/07/2019,"Fennel, Generic Variety, Full-Size",Fennel,26/08/2019,13/01/2020,"Kale, Lacinato (Dinosaur), Full-Size",Kale,04/12/2019,06/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.2,,C2,28,,"Soybeans, Generic Variety, Fresh Shelling",Soybeans,27/03/2019,01/07/2019,"Beans: Bush & Pole, Pole, שחורה אדונית התבלינים, Fresh",Beans: Bush & Pole,08/07/2019,21/09/2019,"Kale, Lacinato (Dinosaur), Full-Size",Kale,26/08/2019,13/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R6m,1,,"Cilantro, Santirini - נטע, Leaf",Cilantro,10/11/2018,18/04/2019,"Dill, Generic Variety, Leaf",Dill,20/03/2019,20/07/2019,"Winter Squash, Atlas",Winter Squash,01/08/2019,02/12/2019,"Parsley Root, Generic Variety",Parsley Root,04/12/2019,14/06/2020,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,16/12/2019,27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R6m,2,,"Cilantro, Santirini - נטע, Leaf",Cilantro,29/09/2018,04/04/2019,"Parsley Root, Generic Variety",Parsley Root,10/04/2019,26/08/2019,"Winter Squash, Atlas",Winter Squash,01/08/2019,02/12/2019,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,04/12/2019,13/02/2020,"Beets, Chioggia Guardsmark, Full-Size Root",Beets,16/12/2019,27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R6m,3,,"Dill, Generic Variety, Leaf",Dill,13/11/2018,29/04/2019,"Cilantro, Generic Variety, Leaf",Cilantro,22/05/2019,27/07/2019,"Winter Squash, Atlas",Winter Squash,01/08/2019,02/12/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,06/11/2019,02/04/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,18/11/2019,03/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R6m,4,,"Parsley, Italian Flat, Full-Size",Parsley,12/11/2018,24/08/2019,"Cabbage, Generic Variety, Full-Size",Cabbage,15/08/2019,22/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,5,,"Cabbage, Generic Variety, Full-Size",Cabbage,03/12/2018,20/06/2019,"Winter Squash, Mini Red Kabocha",Winter Squash,11/03/2019,15/08/2019,"Kohlrabi, קרף - נטע, Full-Size",Kohlrabi,23/09/2019,13/01/2020,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,02/12/2019,03/04/2020,"Kohlrabi, קרף - נטע, Full-Size",Kohlrabi,02/12/2019,27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,6,,"Celeriac, Generic Variety",Celeriac,18/10/2018,13/05/2019,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,12/11/2018,04/07/2019,"Beans: Bush & Pole, Bush, fagiolo nano - franchise, Fresh",Beans: Bush & Pole,10/07/2019,09/09/2019,"Cabbage, סגול חישתיל, Full-Size",Cabbage,30/09/2019,30/01/2020,"Cabbage, ירוק חישתיל, Full-Size",Cabbage,30/09/2019,30/01/2020,"Fennel, Generic Variety, Full-Size",Fennel,18/11/2019,06/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,7,,"Leeks, Generic Variety",Leeks,19/09/2018,27/06/2019,"Celery, Generic Variety, Full-Size",Celery,30/09/2019,13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,8,,"Carrots, Mix - מעורב צבעוני, Full-Size",Carrots,06/02/2019,11/07/2019,"Cabbage, סגול חישתיל, Full-Size",Cabbage,30/09/2019,30/01/2020,"Cabbage, ירוק חישתיל, Full-Size",Cabbage,30/09/2019,30/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,9,,"Winter Squash, Table Queen",Winter Squash,13/03/2019,01/08/2019,"Cabbage, ירוק, Full-Size",Cabbage,04/09/2019,17/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,10,,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,04/12/2018,08/04/2019,"Corn, Sweet, Vanila, Standard",Corn,10/04/2019,01/08/2019,"Beans: Bush & Pole, Pole, Thai Soldier, Fresh",Beans: Bush & Pole,01/05/2019,11/07/2019,"Celery, Generic Variety, Full-Size",Celery,04/09/2019,16/03/2020,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,31/10/2019,16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,11,,"Corn, Sweet, Vanila, Standard",Corn,13/03/2019,20/06/2019,"Beans: Bush & Pole, Pole, Dwarf bean wonder of Piedmont, Fresh",Beans: Bush & Pole,17/04/2019,11/07/2019,"Broccoli, Heading, עידן - לבדוק, Head",Broccoli,19/09/2019,22/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,12,,"Corn, Sweet, Vanila, Standard",Corn,21/02/2019,13/06/2019,"Gourds, Large, Generic Variety",Gourds,24/02/2019,19/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,13,,"Cauliflower, Generic Variety, Full-Size",Cauliflower,20/11/2018,13/05/2019,"Cucumbers, Facus - פאקוס",Cucumbers,08/05/2019,13/08/2019,"Peas, Snow, Taccola gigante, Full-Size",Peas,12/12/2019,07/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,14,,"Celeriac, Generic Variety",Celeriac,23/08/2018,16/05/2019,"Cucumbers, Facus - פאקוס",Cucumbers,15/04/2019,12/08/2019,"Cabbage, ירוק, Full-Size",Cabbage,17/10/2019,13/02/2020,"Celery, Gigante Dorato, Full-Size",Celery,02/12/2019,13/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,15,,"Summer Squash, Yellow, Goldy",Summer Squash,20/02/2019,13/07/2019,"Broccoli, Heading, Generic Variety, Head",Broccoli,17/10/2019,09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R1,16,,"Lettuce, Bibb, מסולסלת מעורב, Full-Size",Lettuce,24/01/2019,29/04/2019,"Winter Squash, Generic Variety",Winter Squash,18/04/2019,29/08/2019,"Chard, Fordhook Giant, Full-Size",Chard,10/10/2019,03/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,17,,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,15/12/2018,29/04/2019,"Summer Squash, Zucchini, Anton",Summer Squash,17/04/2019,18/07/2019,"Chard, Bright Lights, Full-Size",Chard,20/10/2019,28/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramim,Ra.3,,R2,18,,"Celery, Generic Variety, Full-Size",Celery,16/10/2018,29/05/2019,"Celery, Generic Variety, Full-Size",Celery,13/11/2019,27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
